Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Egan-Jones Ratings Company,"UNIVERSAL HEALTH SERVICES,",BB+,06-09-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Egan-Jones Ratings Company,"UNIVERSAL HEALTH SERVICES,",BB+,30-09-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Egan-Jones Ratings Company,"UNIVERSAL HEALTH SERVICES,",BB+,19-12-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Standard & Poor's Ratings Services,Union Pacific Corp.,A,26-11-2013,100885,1,4011,Other,UNP,1.1587,0.3069,0.4526,50.129,32.2326,32.2326,40.6432,30.1921,18.8426,0.4438,19.837,19.837,8.3621,13.7492,0.4702,-0.1499
Standard & Poor's Ratings Services,Union Pacific Corp.,A,11-12-2013,100885,1,4011,Other,UNP,1.1587,0.3069,0.4526,50.129,32.2326,32.2326,40.6432,30.1921,18.8426,0.4438,19.837,19.837,8.3621,13.7492,0.4702,-0.1499
Moody's Investors Service,Union Pacific Corporation,BBB+,13-03-2013,100885,1,4011,Other,UNP,1.1587,0.3069,0.4526,50.129,32.2326,32.2326,40.6432,30.1921,18.8426,0.4438,19.837,19.837,8.3621,13.7492,0.4702,-0.1499
Moody's Investors Service,Union Pacific Corporation,BBB+,29-07-2013,100885,1,4011,Other,UNP,1.1587,0.3069,0.4526,50.129,32.2326,32.2326,40.6432,30.1921,18.8426,0.4438,19.837,19.837,8.3621,13.7492,0.4702,-0.1499
Moody's Investors Service,Union Pacific Corporation,BBB+,23-10-2013,100885,1,4011,Other,UNP,1.1587,0.3069,0.4526,50.129,32.2326,32.2326,40.6432,30.1921,18.8426,0.4438,19.837,19.837,8.3621,13.7492,0.4702,-0.1499
Standard & Poor's Ratings Services,United Rentals Inc.,B+,26-11-2013,1067701,0,7350,Other,URI,0.9941,0.8105,4.6785,38.5475,14.3551,14.3551,36.7015,2.1375,1.8217,0.3734,4.7649,-2.8891,0.6802,0.9027,-0.7421,-2.612
Standard & Poor's Ratings Services,United Rentals Inc.,B,09-12-2013,1067701,0,7350,Other,URI,0.9941,0.8105,4.6785,38.5475,14.3551,14.3551,36.7015,2.1375,1.8217,0.3734,4.7649,-2.8891,0.6802,0.9027,-0.7421,-2.612
Standard & Poor's Ratings Services,United States Cellular Corporation,BBB-,22-03-2013,821130,1,4812,Telcm,USM,1.5847,0.188,0.2316,57.7108,3.5187,3.5187,17.1895,4.6058,2.4933,0.6758,3.7172,7.3603,2.1416,3.0182,-1.0097,-1.6734
Moody's Investors Service,UnitedHealth Group Incorporated,A-,25-02-2013,731766,1,6324,Money,UNH,0.7764,0.3105,0.5374,25.1939,8.3657,8.3657,9.5491,7.7944,4.9956,1.3676,17.724,-115.3653,6.8319,12.2205,0.43,0.3436
Fitch Ratings,Universal Corporation,BBB-,31-10-2013,102037,1,5150,Shops,UVV,2.8043,0.1234,0.3866,18.7845,9.0592,9.0592,10.8919,8.4204,4.7894,1.0674,13.1132,11.8558,6.1106,9.5935,1.1833,0.9255
Moody's Investors Service,"Universal Health Services, Inc.",BB,03-10-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Standard & Poor's Ratings Services,Universal Hospital Services Inc.,B+,15-02-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Standard & Poor's Ratings Services,Universal Hospital Services Inc.,BB,25-02-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Standard & Poor's Ratings Services,Universal Hospital Services Inc.,B+,20-06-2013,352915,0,8062,Hlth,UHS,1.5743,0.574,1.3486,88.5135,13.5401,13.5401,17.9744,10.97,6.3701,0.8489,17.681,-180.5827,5.9634,7.5315,0.9672,0.1494
Egan-Jones Ratings Company,V.F. CORPORATION,A+,22-07-2013,103379,1,2320,NoDur,VFC,1.9914,0.218,0.3599,46.5261,13.4677,13.4677,15.6548,13.0689,9.9817,1.1294,21.1904,546.3181,11.2752,16.5701,0.4192,0.2403
Egan-Jones Ratings Company,V.F. CORPORATION,A+,29-10-2013,103379,1,2320,NoDur,VFC,1.9914,0.218,0.3599,46.5261,13.4677,13.4677,15.6548,13.0689,9.9817,1.1294,21.1904,546.3181,11.2752,16.5701,0.4192,0.2403
Egan-Jones Ratings Company,VECTOR GROUP LTD,B,13-09-2013,59440,0,6531,Money,VGR,3.2745,1.1166,-10.042,24.0253,14.1423,14.1423,15.1105,4.9033,2.7397,1.0081,-38.6388,-16.3962,2.8178,4.5044,0.3963,0.235
Egan-Jones Ratings Company,VECTOR GROUP LTD,B-,11-12-2013,59440,0,6531,Money,VGR,3.2745,1.1166,-10.042,24.0253,14.1423,14.1423,15.1105,4.9033,2.7397,1.0081,-38.6388,-16.3962,2.8178,4.5044,0.3963,0.235
Egan-Jones Ratings Company,VERISK ANALYTICS INC,BBB+,06-09-2013,1442145,1,6411,Money,VRSK,0.6672,0.832,5.7178,63.298,40.6456,40.6456,48.2129,35.5028,23.3791,0.5965,124.2075,-20.9851,13.4499,20.8617,0.5592,0.4712
Egan-Jones Ratings Company,VERISK ANALYTICS INC,BBB+,12-09-2013,1442145,1,6411,Money,VRSK,0.6672,0.832,5.7178,63.298,40.6456,40.6456,48.2129,35.5028,23.3791,0.5965,124.2075,-20.9851,13.4499,20.8617,0.5592,0.4712
Egan-Jones Ratings Company,VERISK ANALYTICS INC,A-,19-12-2013,1442145,1,6411,Money,VRSK,0.6672,0.832,5.7178,63.298,40.6456,40.6456,48.2129,35.5028,23.3791,0.5965,124.2075,-20.9851,13.4499,20.8617,0.5592,0.4712
Egan-Jones Ratings Company,VERTEX PHARMACEUTICALS,BBB,06-09-2013,875320,1,2834,Hlth,VRTX,3.6743,0.3636,0.5828,81.6714,3.06,3.06,5.5609,2.0953,-7.0091,0.5534,2.6986,6.4367,1.1695,1.7174,0.5559,0.3911
Egan-Jones Ratings Company,VERTEX PHARMACEUTICALS,BBB+,10-09-2013,875320,1,2834,Hlth,VRTX,3.6743,0.3636,0.5828,81.6714,3.06,3.06,5.5609,2.0953,-7.0091,0.5534,2.6986,6.4367,1.1695,1.7174,0.5559,0.3911
Egan-Jones Ratings Company,VERTEX PHARMACEUTICALS,BBB+,12-12-2013,875320,1,2834,Hlth,VRTX,3.6743,0.3636,0.5828,81.6714,3.06,3.06,5.5609,2.0953,-7.0091,0.5534,2.6986,6.4367,1.1695,1.7174,0.5559,0.3911
Egan-Jones Ratings Company,VULCAN MATERIALS COMPANY,B,06-09-2013,1396009,0,1400,Other,VMC,2.1245,0.4142,0.7425,11.069,2.4739,2.4739,16.5785,-5.9947,-2.7599,0.3116,-1.9848,-1017.006,-0.9145,-1.1627,-0.2764,-0.3674
Egan-Jones Ratings Company,VULCAN MATERIALS COMPANY,B,19-12-2013,1396009,0,1400,Other,VMC,2.1245,0.4142,0.7425,11.069,2.4739,2.4739,16.5785,-5.9947,-2.7599,0.3116,-1.9848,-1017.006,-0.9145,-1.1627,-0.2764,-0.3674
Egan-Jones Ratings Company,VULCAN MATERIALS COMPANY,B+,27-12-2013,1396009,0,1400,Other,VMC,2.1245,0.4142,0.7425,11.069,2.4739,2.4739,16.5785,-5.9947,-2.7599,0.3116,-1.9848,-1017.006,-0.9145,-1.1627,-0.2764,-0.3674
Standard & Poor's Ratings Services,Valmont Industries Inc.,BBB,02-05-2013,102729,1,3440,Manuf,VMI,3.0704,0.2837,0.4058,25.0541,9.8934,9.8934,12.6948,8.783,8.5782,1.1541,19.8033,33.1708,10.287,14.1854,-0.1238,-2.178
Moody's Investors Service,"Valmont Industries, Inc.",BBB,02-08-2013,102729,1,3440,Manuf,VMI,3.0704,0.2837,0.4058,25.0541,9.8934,9.8934,12.6948,8.783,8.5782,1.1541,19.8033,33.1708,10.287,14.1854,-0.1238,-2.178
Moody's Investors Service,Vector Group Ltd.,BB-,30-01-2013,59440,0,6531,Money,VGR,3.2745,1.1166,-10.042,24.0253,14.1423,14.1423,15.1105,4.9033,2.7397,1.0081,-38.6388,-16.3962,2.8178,4.5044,0.3963,0.235
Standard & Poor's Ratings Services,Vector Group Ltd.,B+,06-09-2013,59440,0,6531,Money,VGR,3.2745,1.1166,-10.042,24.0253,14.1423,14.1423,15.1105,4.9033,2.7397,1.0081,-38.6388,-16.3962,2.8178,4.5044,0.3963,0.235
Standard & Poor's Ratings Services,Vector Ltd.,BBB+,26-11-2013,59440,1,6531,Money,VGR,3.2745,1.1166,-10.042,24.0253,14.1423,14.1423,15.1105,4.9033,2.7397,1.0081,-38.6388,-16.3962,2.8178,4.5044,0.3963,0.235
Moody's Investors Service,Verint Systems Inc.,B+,15-02-2013,1166388,0,7373,BusEq,VRNT,1.2726,0.5256,1.1193,66.4098,11.858,11.858,18.659,8.0715,4.5894,0.5367,25.603,-12.8127,3.7592,5.4145,0.3646,0.2866
Standard & Poor's Ratings Services,"Verisk Analytics, Inc.",BBB-,15-03-2013,1442145,1,6411,Money,VRSK,0.6672,0.832,5.7178,63.298,40.6456,40.6456,48.2129,35.5028,23.3791,0.5965,124.2075,-20.9851,13.4499,20.8617,0.5592,0.4712
Moody's Investors Service,"ViaSat, Inc.",B,26-06-2013,797721,0,3663,BusEq,VSAT,2.2046,0.3925,0.6484,24.2504,-1.8185,-1.8185,12.2185,-8.0989,-3.6771,0.6241,-4.4754,-5.2245,-2.2646,-2.719,-1.1087,-0.487
Standard & Poor's Ratings Services,Vishay Intertechnology Inc.,BB+,26-06-2013,103730,0,3670,BusEq,VSH,4.3459,0.1944,0.2413,23.6166,8.484,8.484,16.178,7.6246,5.5037,0.7394,7.5868,8.463,4.0955,6.1119,-0.3868,-0.2975
Egan-Jones Ratings Company,WALGREENS BOOTS ALLIANCE INC,A,26-06-2013,1618921,1,5912,Shops,WBA,1.2337,0.1826,0.2957,28.3975,4.8358,4.8358,6.4635,4.7129,2.9693,2.1407,11.6637,13.2317,6.3565,9.5343,1.0942,0.6451
Egan-Jones Ratings Company,WALGREENS BOOTS ALLIANCE INC,AA-,15-08-2013,1618921,1,5912,Shops,WBA,1.2337,0.1826,0.2957,28.3975,4.8358,4.8358,6.4635,4.7129,2.9693,2.1407,11.6637,13.2317,6.3565,9.5343,1.0942,0.6451
Egan-Jones Ratings Company,WALGREENS BOOTS ALLIANCE INC,A,02-10-2013,1618921,1,5912,Shops,WBA,1.3367,0.1871,0.2594,29.2438,5.6663,6.3531,8.1297,5.6039,3.5283,2.0354,13.0976,14.9495,7.1813,10.6473,-0.532,0.0808
Egan-Jones Ratings Company,WALGREENS BOOTS ALLIANCE INC,A,26-12-2013,1618921,1,5912,Shops,WBA,1.3367,0.1871,0.2594,29.2438,5.6663,6.3531,8.1297,5.6039,3.5283,2.0354,13.0976,14.9495,7.1813,10.6473,-0.532,0.0808
Egan-Jones Ratings Company,WEATHERFORD INTERNATIONAL PLC,BB+,05-08-2013,1603923,0,1381,Enrgy,WFRD,1.5813,0.4443,0.9791,22.0835,1.9586,1.9586,10.3845,-1.8929,-5.1134,0.6675,-8.5053,-17.9383,-3.2902,-4.7268,0.475,-0.3655
Egan-Jones Ratings Company,WEATHERFORD INTERNATIONAL PLC,BB+,16-09-2013,1603923,0,1381,Enrgy,WFRD,1.5813,0.4443,0.9791,22.0835,1.9586,1.9586,10.3845,-1.8929,-5.1134,0.6675,-8.5053,-17.9383,-3.2902,-4.7268,0.475,-0.3655
Egan-Jones Ratings Company,WEATHERFORD INTERNATIONAL PLC,BBB-,11-12-2013,1603923,1,1381,Enrgy,WFRD,1.5813,0.4443,0.9791,22.0835,1.9586,1.9586,10.3845,-1.8929,-5.1134,0.6675,-8.5053,-17.9383,-3.2902,-4.7268,0.475,-0.3655
Egan-Jones Ratings Company,WEC ENERGY GROUP INC,BBB,17-07-2013,783325,1,4931,Utils,WEC,1.0452,0.536,1.3313,57.6855,19.7776,19.7776,27.2758,17.3123,11.7288,0.3236,12.9387,14.4378,3.6993,5.9572,0.7964,0.5252
Egan-Jones Ratings Company,WEC ENERGY GROUP INC,BBB,21-08-2013,783325,1,4931,Utils,WEC,1.0452,0.536,1.3313,57.6855,19.7776,19.7776,27.2758,17.3123,11.7288,0.3236,12.9387,14.4378,3.6993,5.9572,0.7964,0.5252
Egan-Jones Ratings Company,WEC ENERGY GROUP INC,BBB+,25-09-2013,783325,1,4931,Utils,WEC,1.0452,0.536,1.3313,57.6855,19.7776,19.7776,27.2758,17.3123,11.7288,0.3236,12.9387,14.4378,3.6993,5.9572,0.7964,0.5252
Egan-Jones Ratings Company,WEC ENERGY GROUP INC,BBB+,05-12-2013,783325,1,4931,Utils,WEC,1.0452,0.536,1.3313,57.6855,19.7776,19.7776,27.2758,17.3123,11.7288,0.3236,12.9387,14.4378,3.6993,5.9572,0.7964,0.5252
Standard & Poor's Ratings Services,WEC Energy Group Inc.,BBB+,25-06-2013,783325,1,4931,Utils,WEC,1.0452,0.536,1.3313,57.6855,19.7776,19.7776,27.2758,17.3123,11.7288,0.3236,12.9387,14.4378,3.6993,5.9572,0.7964,0.5252
Egan-Jones Ratings Company,WENDY'S COMPANY,A,15-07-2013,30697,1,5812,Shops,WEN,2.4745,0.4211,0.734,24.9075,4.8996,4.8996,11.223,-0.5239,0.2827,0.5822,0.4007,-4.1473,0.1849,0.232,-0.1203,-0.4678
Egan-Jones Ratings Company,WENDY'S COMPANY,B+,25-07-2013,30697,0,5812,Shops,WEN,2.4745,0.4211,0.734,24.9075,4.8996,4.8996,11.223,-0.5239,0.2827,0.5822,0.4007,-4.1473,0.1849,0.232,-0.1203,-0.4678
Egan-Jones Ratings Company,WILLIAMS COMPANIES INC.,BB+,20-09-2013,107263,0,4922,Utils,WMB,1.2421,0.5911,1.4455,53.2995,21.5335,21.5335,32.1133,17.2188,11.4748,0.3077,12.5084,18.309,3.8188,5.1151,-2.8155,-2.1844
Egan-Jones Ratings Company,WILLIAMS COMPANIES INC.,BB+,24-09-2013,107263,0,4922,Utils,WMB,1.2421,0.5911,1.4455,53.2995,21.5335,21.5335,32.1133,17.2188,11.4748,0.3077,12.5084,18.309,3.8188,5.1151,-2.8155,-2.1844
Egan-Jones Ratings Company,WILLIAMS COMPANIES INC.,BB+,12-12-2013,107263,0,4922,Utils,WMB,1.2421,0.5911,1.4455,53.2995,21.5335,21.5335,32.1133,17.2188,11.4748,0.3077,12.5084,18.309,3.8188,5.1151,-2.8155,-2.1844
Egan-Jones Ratings Company,"WORTHINGTON INDUSTRIES, INC",BBB,01-07-2013,108516,1,3310,Manuf,WOR,1.9311,0.3178,0.5974,15.184,4.9437,4.9437,7.4882,7.706,5.2232,1.339,15.6878,26.7656,7.0141,10.703,1.356,1.1822
Egan-Jones Ratings Company,"WORTHINGTON INDUSTRIES, INC",BBB,16-10-2013,108516,1,3310,Manuf,WOR,1.9311,0.3178,0.5974,15.184,4.9437,4.9437,7.4882,7.706,5.2232,1.339,15.6878,26.7656,7.0141,10.703,1.356,1.1822
Egan-Jones Ratings Company,"WORTHINGTON INDUSTRIES, INC",BBB,26-12-2013,108516,1,3310,Manuf,WOR,1.9311,0.3178,0.5974,15.184,4.9437,4.9437,7.4882,7.706,5.2232,1.339,15.6878,26.7656,7.0141,10.703,1.356,1.1822
Egan-Jones Ratings Company,WPP PLC,BBB,13-08-2013,806968,1,7311,Other,WPP,0.9445,0.3427,0.6751,91.7257,11.9646,11.9646,16.0964,10.5263,7.9311,0.417,12.6717,-37.3321,3.5964,8.3296,1.0274,1.3601
Egan-Jones Ratings Company,WPP PLC,BBB+,01-10-2013,806968,1,7311,Other,WPP,0.9445,0.3427,0.6751,91.7257,11.9646,11.9646,16.0964,10.5263,7.9311,0.417,12.6717,-37.3321,3.5964,8.3296,1.0274,1.3601
Egan-Jones Ratings Company,"WYNN RESORTS, LIMITED",BBB,31-07-2013,1174922,1,7990,Other,WYNN,1.0928,0.5672,1.4999,37.1886,19.1325,19.1325,27.0592,15.2865,11.6394,0.7638,37.1095,37.716,11.959,16.0619,3.5314,4.3617
Egan-Jones Ratings Company,"WYNN RESORTS, LIMITED",BBB,25-11-2013,1174922,1,7990,Other,WYNN,1.0928,0.5672,1.4999,37.1886,19.1325,19.1325,27.0592,15.2865,11.6394,0.7638,37.1095,37.716,11.959,16.0619,3.5314,4.3617
Moody's Investors Service,"Wendy's International, LLC",B-,10-09-2013,30697,0,5812,Shops,WEN,2.4745,0.4211,0.734,24.9075,4.8996,4.8996,11.223,-0.5239,0.2827,0.5822,0.4007,-4.1473,0.1849,0.232,-0.1203,-0.4678
Moody's Investors Service,Westinghouse Air Brake Technologies Corp.,BBB-,05-06-2013,943452,1,3743,Manuf,WAB,1.9762,0.1987,0.248,29.0477,16.4057,16.4057,18.2515,15.7816,10.5278,1.0168,19.6356,81.8178,10.705,15.7345,-0.118,-0.0941
Moody's Investors Service,Westinghouse Air Brake Technologies Corp.,BBB-,05-08-2013,943452,1,3743,Manuf,WAB,1.9762,0.1987,0.248,29.0477,16.4057,16.4057,18.2515,15.7816,10.5278,1.0168,19.6356,81.8178,10.705,15.7345,-0.118,-0.0941
Standard & Poor's Ratings Services,Worthington Industries Inc.,BBB,20-06-2013,108516,1,3310,Manuf,WOR,1.9311,0.3178,0.5974,15.184,4.9437,4.9437,7.4882,7.706,5.2232,1.339,15.6878,26.7656,7.0141,10.703,1.356,1.1822
Moody's Investors Service,"Wynn Resorts, Limited",BB+,05-02-2013,1174922,0,7990,Other,WYNN,1.0928,0.5672,1.4999,37.1886,19.1325,19.1325,27.0592,15.2865,11.6394,0.7638,37.1095,37.716,11.959,16.0619,3.5314,4.3617
Egan-Jones Ratings Company,XCEL ENERGY INC.,A-,08-08-2013,72903,1,4931,Utils,XEL,0.8311,0.5106,1.194,51.3263,16.7212,16.7212,26.1401,12.2902,7.831,0.3612,9.9169,9.9169,2.8517,4.8537,0.8665,0.9177
Egan-Jones Ratings Company,XCEL ENERGY INC.,A+,12-11-2013,72903,1,4931,Utils,XEL,0.8311,0.5106,1.194,51.3263,16.7212,16.7212,26.1401,12.2902,7.831,0.3612,9.9169,9.9169,2.8517,4.8537,0.8665,0.9177
Egan-Jones Ratings Company,XEROX CORPORATION,BB+,06-09-2013,108772,0,7389,Other,XRX,1.2399,0.3642,0.6977,33.4429,9.9726,9.9726,15.6849,7.0091,5.8037,0.7272,10.869,247.07,4.3399,6.7157,-2.5883,-2.5658
Egan-Jones Ratings Company,XEROX CORPORATION,BB+,19-11-2013,108772,0,7389,Other,XRX,1.2399,0.3642,0.6977,33.4429,9.9726,9.9726,15.6849,7.0091,5.8037,0.7272,10.869,247.07,4.3399,6.7157,-2.5883,-2.5658
Moody's Investors Service,Xcel Energy Inc.,BBB+,06-05-2013,72903,1,4931,Utils,XEL,0.8311,0.5106,1.194,51.3263,16.7212,16.7212,26.1401,12.2902,7.831,0.3612,9.9169,9.9169,2.8517,4.8537,0.8665,0.9177
Standard & Poor's Ratings Services,Xcel Energy Inc.,BBB+,07-05-2013,72903,1,4931,Utils,XEL,0.8311,0.5106,1.194,51.3263,16.7212,16.7212,26.1401,12.2902,7.831,0.3612,9.9169,9.9169,2.8517,4.8537,0.8665,0.9177
Standard & Poor's Ratings Services,Xcel Energy Inc.,BBB,21-06-2013,72903,1,4931,Utils,XEL,0.8311,0.5106,1.194,51.3263,16.7212,16.7212,26.1401,12.2902,7.831,0.3612,9.9169,9.9169,2.8517,4.8537,0.8665,0.9177
Moody's Investors Service,Xerox Corporation,BBB,08-12-2013,108772,1,7389,Other,XRX,1.2399,0.3642,0.6977,33.4429,9.9726,9.9726,15.6849,7.0091,5.8037,0.7272,10.869,247.07,4.3399,6.7157,-2.5883,-2.5658
Egan-Jones Ratings Company,"YUM! BRANDS, INC.",BBB+,11-07-2013,1041061,1,5812,Shops,YUM,0.9473,0.61,1.7312,46.7607,14.3751,14.3751,19.4202,13.1396,10.4467,1.4293,69.6764,142.6282,15.1121,27.1728,0.462,0.1457
Egan-Jones Ratings Company,"YUM! BRANDS, INC.",BBB+,09-10-2013,1041061,1,5812,Shops,YUM,0.9473,0.61,1.7312,46.7607,14.3751,14.3751,19.4202,13.1396,10.4467,1.4293,69.6764,142.6282,15.1121,27.1728,0.462,0.1457
Standard & Poor's Ratings Services,York Water Co. (The),BBB+,19-04-2013,108985,1,4941,Utils,YORW,2.1273,0.4597,0.8512,100,49.6369,49.6369,62.1107,35.9712,22.4455,0.1467,9.3193,9.3193,3.2932,5.0352,-0.0939,-0.2486
Standard & Poor's Ratings Services,Yum! Brands Inc.,BBB,27-02-2013,1041061,1,5812,Shops,YUM,0.9473,0.61,1.7312,46.7607,14.3751,14.3751,19.4202,13.1396,10.4467,1.4293,69.6764,142.6282,15.1121,27.1728,0.462,0.1457
Standard & Poor's Ratings Services,Yum! Brands Inc.,BBB,22-10-2013,1041061,1,5812,Shops,YUM,0.9473,0.61,1.7312,46.7607,14.3751,14.3751,19.4202,13.1396,10.4467,1.4293,69.6764,142.6282,15.1121,27.1728,0.462,0.1457
Standard & Poor's Ratings Services,Zoetis Inc.,BBB,14-01-2013,1555280,1,2834,Hlth,ZTS,2.5503,0.1119,0.144,63.953,16.3745,17.0895,21.702,16.3745,10.0554,0.6924,10.7894,19.9269,6.9626,9.5824,-0.086,-0.13
Standard & Poor's Ratings Services,Zoetis Inc.,BBB-,16-01-2013,1555280,1,2834,Hlth,ZTS,2.5503,0.1119,0.144,63.953,16.3745,17.0895,21.702,16.3745,10.0554,0.6924,10.7894,19.9269,6.9626,9.5824,-0.086,-0.13
Standard & Poor's Ratings Services,Zoetis Inc.,BBB-,11-10-2013,1555280,1,2834,Hlth,ZTS,2.5503,0.1119,0.144,63.953,16.3745,17.0895,21.702,16.3745,10.0554,0.6924,10.7894,19.9269,6.9626,9.5824,-0.086,-0.13
Moody's Investors Service,"iHeartCommunications, Inc.",CCC+,21-02-2013,739708,0,4832,Telcm,CCU,1.5766,0.2135,0.3305,54.1608,16.3249,16.3249,16.3249,14.9774,11.5253,0.811,15.75,19.2344,8.4364,12.3875,-0.3695,-0.8428
Fitch Ratings,"iHeartCommunications, Inc.",CCC,22-02-2013,739708,0,4832,Telcm,CCU,1.5766,0.2135,0.3305,54.1608,16.3249,16.3249,16.3249,14.9774,11.5253,0.811,15.75,19.2344,8.4364,12.3875,-0.3695,-0.8428
Moody's Investors Service,"iHeartCommunications, Inc.",CC,24-05-2013,739708,0,4832,Telcm,CCU,1.5766,0.2135,0.3305,54.1608,16.3249,16.3249,16.3249,14.9774,11.5253,0.811,15.75,19.2344,8.4364,12.3875,-0.3695,-0.8428
Fitch Ratings,"iHeartCommunications, Inc.",CC,11-06-2013,739708,0,4832,Telcm,CCU,1.5766,0.2135,0.3305,54.1608,16.3249,16.3249,16.3249,14.9774,11.5253,0.811,15.75,19.2344,8.4364,12.3875,-0.3695,-0.8428
Egan-Jones Ratings Company,3M COMPANY,AA,05-02-2014,66740,1,2670,Manuf,MMM,1.6982,0.1942,0.3348,47.8281,21.5931,21.5931,26.0341,21.2562,15.0918,0.9201,26.3038,52.9557,14.0715,21.1951,0.8508,0.6866
Egan-Jones Ratings Company,3M COMPANY,AA,15-05-2014,66740,1,2670,Manuf,MMM,1.6982,0.1942,0.3348,47.8281,21.5931,21.5931,26.0341,21.2562,15.0918,0.9201,26.3038,52.9557,14.0715,21.1951,0.8508,0.6866
Egan-Jones Ratings Company,3M COMPANY,AA,31-07-2014,66740,1,2670,Manuf,MMM,1.6982,0.1942,0.3348,47.8281,21.5931,21.5931,26.0341,21.2562,15.0918,0.9201,26.3038,52.9557,14.0715,21.1951,0.8508,0.6866
Egan-Jones Ratings Company,3M COMPANY,AA,30-10-2014,66740,1,2670,Manuf,MMM,1.6982,0.1942,0.3348,47.8281,21.5931,21.5931,26.0341,21.2562,15.0918,0.9201,26.3038,52.9557,14.0715,21.1951,0.8508,0.6866
Moody's Investors Service,3M Company,AA,05-11-2014,66740,1,2670,Manuf,MMM,1.6982,0.1942,0.3348,47.8281,21.5931,21.5931,26.0341,21.2562,15.0918,0.9201,26.3038,52.9557,14.0715,21.1951,0.8508,0.6866
Egan-Jones Ratings Company,ABB LTD,AA-,10-03-2014,1091587,1,3613,Manuf,ABB,1.4758,0.3016,0.5773,28.9252,10.3163,10.3163,13.3211,9.757,6.8741,0.8016,16.0954,75.5042,5.7224,11.241,0.07,-0.0551
Egan-Jones Ratings Company,ABB LTD,A+,20-05-2014,1091587,1,3613,Manuf,ABB,1.4758,0.3016,0.5773,28.9252,10.3163,10.3163,13.3211,9.757,6.8741,0.8016,16.0954,75.5042,5.7224,11.241,0.07,-0.0551
Egan-Jones Ratings Company,ABB LTD,A+,28-07-2014,1091587,1,3613,Manuf,ABB,1.4758,0.3016,0.5773,28.9252,10.3163,10.3163,13.3211,9.757,6.8741,0.8016,16.0954,75.5042,5.7224,11.241,0.07,-0.0551
Egan-Jones Ratings Company,ABB LTD,AA-,23-10-2014,1091587,1,3613,Manuf,ABB,1.4758,0.3016,0.5773,28.9252,10.3163,10.3163,13.3211,9.757,6.8741,0.8016,16.0954,75.5042,5.7224,11.241,0.07,-0.0551
Fitch Ratings,ABB Ltd,A-,02-05-2014,1091587,1,3613,Manuf,ABB,1.4758,0.3016,0.5773,28.9252,10.3163,10.3163,13.3211,9.757,6.8741,0.8016,16.0954,75.5042,5.7224,11.241,0.07,-0.0551
Egan-Jones Ratings Company,ABBOTT LABORATORIES,A+,25-03-2014,1800,1,3845,Hlth,ABT,2.3587,0.4028,0.7637,53.2861,7.1391,7.1391,21.7428,-1.1549,31.3018,0.2833,0.8839,9.6695,0.3525,0.5279,0.1262,-0.0498
Egan-Jones Ratings Company,ABBOTT LABORATORIES,A+,20-05-2014,1800,1,3845,Hlth,ABT,2.3587,0.4028,0.7637,53.2861,7.1391,7.1391,21.7428,-1.1549,31.3018,0.2833,0.8839,9.6695,0.3525,0.5279,0.1262,-0.0498
Egan-Jones Ratings Company,ABBOTT LABORATORIES,A+,14-07-2014,1800,1,3845,Hlth,ABT,2.3587,0.4028,0.7637,53.2861,7.1391,7.1391,21.7428,-1.1549,31.3018,0.2833,0.8839,9.6695,0.3525,0.5279,0.1262,-0.0498
Egan-Jones Ratings Company,ABBOTT LABORATORIES,A+,18-12-2014,1800,1,3845,Hlth,ABT,2.3587,0.4028,0.7637,53.2861,7.1391,7.1391,21.7428,-1.1549,31.3018,0.2833,0.8839,9.6695,0.3525,0.5279,0.1262,-0.0498
